"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V39" "V40" "V41" "V42" "V43" "V44" "V46"
"29" 0.646358871 0.63851989 0.632520669 0.753758979 0.603727476 0.448133038 0.676226358 0.562083252 0.629083792 0.616089899 0.742445881 0.568196288 0.684731674 0.60898851 0.641990736 0.610218856 0.720830101 0.589375944 0.766948485 0.746395568 0.69318309 0.740063438 0.576117792 0.739822774 0.656240444 0.60971529 0.509630461 0 0.742445751 0.755157488 0.632515652 0.615723038 0.692674666 0.728729959 0.571805025 0.849619413 0.705364217 0.637821805 0.66012814 0.648372133 0.631656962 0.651190988 0.777631931
"30" 0.677458877 0.601014933 0.55142223 0.64737428 0.65591782 0.694176905 0.623716997 0.66708571 0.495577035 0.695043104 0.68506726 0.687833796 0.410556797 0.674843954 0.679694376 0.650142154 0.613381734 0.593970242 0.269357737 0.694230216 0.190228428 0.633806349 0.6288815 0.633932635 0.577107969 0.660676517 0.62141954 0.742445751 0 0.278786902 0.678556644 0.635109492 0.432180039 0.634600395 0.622135247 0.430367835 0.202387803 0.730798334 0.656986868 0.396985598 0.657762679 0.737272265 0.707414303
"31" 0.6383424 0.641373761 0.471759669 0.610432249 0.685290862 0.713785903 0.659841554 0.688331165 0.542842732 0.722833838 0.645311678 0.636492195 0.475916279 0.706554686 0.636916819 0.672059054 0.635331303 0.63655594 0.075816817 0.660544632 0.314730826 0.58623814 0.653972666 0.664819732 0.613955619 0.681588239 0.661900321 0.755157488 0.278786902 0 0.630203587 0.572189689 0.496320288 0.587257113 0.662891095 0.382833059 0.334598388 0.680673149 0.677131001 0.470294348 0.698804782 0.698118988 0.6691415
"32" 0.681903743 0.629055369 0.674652094 0.471509307 0.359915447 0.523619484 0.694848374 0.2946263 0.635231785 0.711119763 0.452413139 0.629983795 0.713842926 0.723524355 0.674602774 0.686957121 0.528853926 0.636088663 0.634976277 0.457871347 0.685024257 0.450474624 0.575562928 0.486588071 0.713383865 0.274281489 0.59850965 0.632515652 0.678556644 0.630203587 0 0.458920583 0.632217599 0.359187878 0.598220862 0.726434488 0.697221377 0.441957517 0.447046281 0.760490197 0.646668257 0.723153676 0.500841727
"33" 0.651569962 0.469264391 0.555671685 0.655119577 0.581495556 0.448639413 0.544778965 0.500789375 0.637915843 0.616347261 0.64238429 0.546436451 0.61298474 0.609385967 0.638156569 0.641004513 0.68449495 0.543256191 0.580866434 0.649740013 0.602522766 0.637281995 0.599668768 0.653278737 0.674816654 0.522108905 0.478462156 0.615723038 0.635109492 0.572189689 0.458920583 0 0.566394176 0.582781114 0.39940726 0.701919839 0.61406166 0.578185734 0.630095198 0.67703907 0.681212686 0.635245894 0.679562617
"34" 0.697811147 0.59666299 0.549005075 0.682334521 0.592188592 0.628611985 0.611172195 0.607872444 0.565896497 0.535630502 0.679420321 0.642558823 0.564067043 0.747200524 0.683870749 0.708464909 0.64018093 0.435868964 0.502782517 0.687845695 0.436765421 0.672669899 0.469662876 0.641664681 0.569731296 0.585930661 0.47813097 0.692674666 0.432180039 0.496320288 0.632217599 0.566394176 0 0.676642109 0.555305724 0.626976593 0.427597657 0.729875652 0.586780741 0.572503306 0.678387738 0.73356538 0.716375236
"35" 0.675723412 0.677503122 0.723836369 0.376347785 0.503601207 0.636427049 0.646276945 0.464957512 0.585995756 0.747145338 0.440803245 0.678786479 0.621074989 0.725349541 0.667473024 0.641613128 0.398379484 0.631646765 0.589361846 0.447234626 0.642449994 0.363820481 0.577288786 0.311171614 0.619343781 0.451525268 0.692259793 0.728729959 0.634600395 0.587257113 0.359187878 0.582781114 0.676642109 0 0.691939944 0.675216495 0.64831484 0.519101908 0.453328191 0.719987308 0.521884663 0.714074494 0.484603096
"36" 0.700711904 0.402947182 0.624305169 0.656770526 0.561034784 0.485012754 0.484526278 0.533253684 0.613061519 0.577303018 0.696134191 0.605043185 0.569983508 0.537047555 0.693945833 0.532558995 0.646748255 0.492371493 0.662386346 0.698811983 0.580911595 0.697527633 0.600701711 0.696494364 0.669224983 0.576049663 0.393165555 0.571805025 0.622135247 0.662891095 0.598220862 0.39940726 0.555305724 0.691939944 0 0.745095094 0.587977169 0.63179993 0.632430205 0.638480962 0.708144709 0.608042914 0.724089106
"37" 0.680739736 0.740516091 0.627150899 0.662790534 0.769991832 0.818773852 0.756654303 0.788677102 0.650873981 0.815573352 0.710717269 0.727765122 0.60964831 0.786508124 0.698091497 0.762827313 0.760517633 0.725169609 0.326845217 0.716166287 0.508506871 0.670992351 0.774675878 0.756015005 0.727653408 0.792309846 0.745882357 0.849619413 0.430367835 0.382833059 0.726434488 0.701919839 0.626976593 0.675216495 0.745095094 0 0.491368957 0.792307303 0.789505351 0.582369393 0.756977587 0.756616941 0.71423206
"39" 0.707024351 0.584853658 0.490524978 0.650790103 0.669092123 0.67425807 0.580796703 0.648516726 0.473284546 0.635488648 0.694351475 0.681502737 0.318695919 0.665767205 0.698833582 0.623704916 0.608710362 0.566832979 0.337786775 0.707656361 0.102038954 0.640049728 0.627643867 0.613968437 0.590060962 0.663940671 0.585363144 0.705364217 0.202387803 0.334598388 0.697221377 0.61406166 0.427597657 0.64831484 0.587977169 0.491368957 0 0.700877992 0.662652581 0.321735875 0.651151166 0.694681155 0.720024819
"40" 0.705677382 0.525163417 0.676410978 0.563894945 0.446484267 0.627924902 0.576352859 0.459698239 0.587491427 0.69422023 0.411848574 0.636821999 0.675437562 0.652452979 0.696490059 0.672893223 0.581135587 0.691889871 0.690024851 0.418861273 0.682882924 0.473424674 0.675440135 0.612362897 0.762433901 0.510251221 0.632738398 0.637821805 0.730798334 0.680673149 0.441957517 0.578185734 0.729875652 0.519101908 0.63179993 0.792307303 0.700877992 0 0.509141795 0.727038346 0.75689808 0.655565634 0.477527827
"41" 0.749483677 0.607147065 0.712092671 0.547313998 0.281842362 0.596717368 0.568242976 0.397859698 0.546546196 0.628232814 0.469717837 0.645606359 0.638749775 0.727124819 0.736868485 0.67863158 0.37153357 0.551590024 0.687165411 0.483074175 0.653137822 0.457324883 0.449299457 0.40592196 0.640129528 0.365963076 0.631096444 0.66012814 0.656986868 0.677131001 0.447046281 0.630095198 0.586780741 0.453328191 0.632430205 0.789505351 0.662652581 0.509141795 0 0.744937404 0.623078884 0.779429651 0.525229044
"42" 0.700489537 0.648626651 0.409362815 0.730498611 0.744133474 0.649592396 0.636228914 0.704755926 0.550119948 0.609994035 0.764858597 0.645190524 0.402299872 0.594085849 0.698919745 0.653114701 0.705648411 0.643150877 0.470221961 0.771907384 0.316865375 0.719660418 0.724920316 0.719593961 0.593196027 0.747317042 0.637703079 0.648372133 0.396985598 0.470294348 0.760490197 0.67703907 0.572503306 0.719987308 0.638480962 0.582369393 0.321735875 0.727038346 0.744937404 0 0.667586718 0.6484445 0.788939277
"43" 0.633304095 0.696930404 0.755883614 0.618099553 0.655507609 0.558239397 0.655372366 0.633886984 0.597113201 0.674901491 0.672729747 0.651870202 0.633880583 0.69533628 0.617318051 0.666999146 0.574015615 0.634395477 0.695614288 0.673456843 0.665389709 0.627970386 0.579268381 0.469463873 0.526842145 0.617409817 0.707355383 0.631656962 0.657762679 0.698804782 0.646668257 0.681212686 0.678387738 0.521884663 0.708144709 0.756977587 0.651151166 0.75689808 0.623078884 0.667586718 0 0.667441516 0.705061159
"44" 0.408655005 0.626177351 0.600106783 0.615300432 0.765062545 0.696147353 0.614618612 0.735169836 0.664602829 0.581396327 0.613283501 0.43746434 0.674428001 0.696580746 0.394924432 0.647260233 0.747807789 0.673105614 0.692947873 0.62066819 0.697521648 0.666330471 0.761093775 0.775847002 0.69717252 0.777933464 0.662999851 0.651190988 0.737272265 0.698118988 0.723153676 0.635245894 0.73356538 0.714074494 0.608042914 0.756616941 0.694681155 0.655565634 0.779429651 0.6484445 0.667441516 0 0.631018782
"46" 0.588417019 0.629639748 0.752131561 0.390794886 0.511404053 0.734709413 0.642860376 0.574224495 0.62473111 0.685406813 0.16083208 0.621769781 0.742050435 0.776412482 0.583978467 0.688256269 0.59013243 0.701582732 0.662739426 0.250672517 0.723997779 0.29969578 0.6779735 0.571364455 0.735489344 0.582439145 0.722220092 0.777631931 0.707414303 0.6691415 0.500841727 0.679562617 0.716375236 0.484603096 0.724089106 0.71423206 0.720024819 0.477527827 0.525229044 0.788939277 0.705061159 0.631018782 0
